Ausrüstung 1;Ausrüstung 2;Ausrüstung 3;Ausrüstung 4;Waffe;Rüstung;Waffe (mit Schriftrolle);Rüstung (mit Schriftrolle);Unreine Schriftrollen;Heilige Schriftrollen;Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten
;;;;;;;;;;Narg’thrul’vask;;;;
;;;;;;;;;;Vel’drim’kor;;;;
;;;;;;;;;;Ulv’nash’gra;;;;
;;;;;;;;;;Krel’voth’nar;;;;
;;;;;;;;;;Drak’mur’thal;;;;
;;;;;;;;;;Gor’vel’kurn;;;;
;;;;;;;;;;Tal’grun’veth;;;;
;;;;;;;;;;Jar’thul’mek;;;;
;;;;;;;;;;Snar’vok’tren;;;;
;;;;;;;;;;Brün’thag’vul;;;;
;;;;;;;;;;Var’kesh’drun;;;;
;;;;;;;;;;Mör’vak’thul;;;;
;;;;;;;;;;Kran’der’vask;;;;
;;;;;;;;;;Thrul’gorn’esh;;;;
;;;;;;;;;;Hesk’var’ton;;;;
;;;;;;;;;;Yl’grath’ven;;;;
;;;;;;;;;;Quor’vak’til;;;;
;;;;;;;;;;Zhar’mlok’ven;;;;
;;;;;;;;;;Brel’thun’gar;;;;
;;;;;;;;;;Brüünthel;;;;
;;;;;;;;;;Gröömskäl;;;;
;;;;;;;;;;Hüürgvlön;;;;
;;;;;;;;;;Vöörthüm;;;;
;;;;;;;;;;Näälgrüb;;;;
;;;;;;;;;;Krööntvääl;;;;
;;;;;;;;;;Flüüghnör;;;;
;;;;;;;;;;Skäärvülm;;;;
;;;;;;;;;;Prööglün;;;;
;;;;;;;;;;Träävsköll;;;;
;;;;;;;;;;Grümthäl;;;;
;;;;;;;;;;Blöödnür;;;;
;;;;;;;;;;Määrghül;;;;
;;;;;;;;;;Kläörvünn;;;;
;;;;;;;;;;Drüüsnäk;;;;
;;;;;;;;;;Vlööthrän;;;;
;;;;;;;;;;Snäävrökk;;;;
;;;;;;;;;;Bräähntvür;;;;
;;;;;;;;;;Krüülthön;;;;
;;;;;;;;;;Würmträäl;;;;
;;;;;;;;;;Näögdrüü;;;;
;;;;;;;;;;Plöötschkää;;;;
;;;;;;;;;;Häärrgvöl;;;;
;;;;;;;;;;Strüübnäth;;;;
;;;;;;;;;;Klööfdrämm;;;;
;;;;;;;;;;Gräävkrüll;;;;
;;;;;;;;;;Vüülnörg;;;;
;;;;;;;;;;Zöölthrään;;;;
;;;;;;;;;;Brüüsglön;;;;
;;;;;;;;;;Dräämflökk;;;;
